date,time,humidity,temp
2020-12-01,00:00,40.94,19.70
2020-12-01,00:15,40.04,20.07
2020-12-01,00:30,40.20,19.99
2020-12-01,00:45,40.26,19.82
2020-12-01,01:00,38.85,20.52
2020-12-01,01:15,40.13,20.25
2020-12-01,01:30,40.42,20.15
2020-12-01,01:45,40.45,19.94
2020-12-01,02:00,40.70,19.77
2020-12-01,02:15,39.89,19.74
2020-12-01,02:30,38.52,20.45
2020-12-01,02:45,39.75,20.21
2020-12-01,03:00,40.35,19.92
2020-12-01,03:15,39.47,20.12
2020-12-01,03:30,39.12,20.44
2020-12-01,03:45,40.19,20.01
2020-12-01,04:00,40.55,19.73
2020-12-01,04:15,39.71,19.83
2020-12-01,04:30,38.93,20.21
2020-12-01,04:45,40.20,19.77
2020-12-01,05:00,39.64,19.80
2020-12-01,05:15,38.38,20.35
2020-12-01,05:30,39.75,19.92
2020-12-01,05:45,40.45,19.63
2020-12-01,06:00,39.02,20.04
2020-12-01,06:15,38.72,20.29
2020-12-01,06:30,40.23,19.77
2020-12-01,06:45,39.59,19.77
2020-12-01,07:00,38.72,20.25
2020-12-01,07:15,39.99,19.84
2020-12-01,07:30,40.49,19.65
2020-12-01,07:45,39.36,19.82
2020-12-01,08:00,39.54,19.91
2020-12-01,08:15,39.07,19.95
2020-12-01,08:30,38.67,20.26
2020-12-01,08:45,40.10,19.78
2020-12-01,09:00,39.48,19.77
2020-12-01,09:15,38.45,20.31
2020-12-01,09:30,39.36,20.01
2020-12-01,09:45,39.89,19.70
2020-12-01,10:00,38.56,20.17
2020-12-01,10:15,38.66,20.21
2020-12-01,10:30,39.75,19.75
2020-12-01,10:45,38.66,20.02
2020-12-01,11:00,38.88,20.04
2020-12-01,11:15,39.62,19.72
2020-12-01,11:30,38.54,19.97
2020-12-01,11:45,38.49,20.13
2020-12-01,12:00,39.59,19.66
2020-12-01,12:15,38.39,19.96
2020-12-01,12:30,38.16,20.17
2020-12-01,12:45,39.22,19.70
2020-12-01,13:00,38.00,20.14
2020-12-01,13:15,37.92,20.62
