readingdate,ccfs,daysused,meterreading,readingtype
2021-02-22 00:00:00.000+0000,251,31,2394,Actual
2021-01-22 00:00:00.000+0000,198,31,2143,Actual
2020-12-22 00:00:00.000+0000,147,31,1945,Actual
2020-11-23 00:00:00.000+0000,80,32,1798,Actual
2020-10-22 00:00:00.000+0000,27,29,1718,Actual
2020-09-22 00:00:00.000+0000,15,31,1691,Actual
2020-08-21 00:00:00.000+0000,23,31,1676,Actual
2020-07-23 00:00:00.000+0000,23,30,1653,Actual
2020-06-23 00:00:00.000+0000,29,30,1630,Actual
2020-05-22 00:00:00.000+0000,66,30,1601,Actual
2020-04-23 00:00:00.000+0000,103,30,1535,Actual
2020-03-24 00:00:00.000+0000,152,30,1432,Actual
2020-02-24 00:00:00.000+0000,234,34,1280,Actual
2020-01-22 00:00:00.000+0000,174,30,1046,Actual
2019-12-20 00:00:00.000+0000,169,31,872,Actual
2019-11-20 00:00:00.000+0000,138,30,703,Actual
2019-10-22 00:00:00.000+0000,40,30,565,Actual
2019-09-20 00:00:00.000+0000,16,29,525,Actual
2019-08-22 00:00:00.000+0000,17,32,509,Actual
2019-07-23 00:00:00.000+0000,20,29,492,Actual
2019-06-24 00:00:00.000+0000,28,32,472,Actual
2019-05-22 00:00:00.000+0000,69,30,444,Actual
2019-04-23 00:00:00.000+0000,119,30,375,Actual
2019-03-22 00:00:00.000+0000,206,29,256,Actual
