billdate,currentcharges,distcharge,naturalgascost
2021-02-22 00:00:00.000+0000,140.03,48.9,78.14
2021-01-22 00:00:00.000+0000,112.53,41.96,60.23
2020-12-22 00:00:00.000+0000,87.43,35.38,44.17
2020-11-23 00:00:00.000+0000,56.46,28.24,23.5
2020-10-22 00:00:00.000+0000,32.44,22.45,7.73
2020-09-22 00:00:00.000+0000,26.46,20.8,3.98
2020-08-21 00:00:00.000+0000,29.38,21.56,5.8
2020-07-23 00:00:00.000+0000,29.51,21.51,5.97
2020-06-23 00:00:00.000+0000,32.23,22.01,7.92
2020-05-22 00:00:00.000+0000,47.71,25.74,18.02
2020-04-23 00:00:00.000+0000,63.52,29.76,28.12
2020-03-24 00:00:00.000+0000,85.08,35.73,41.46
2020-02-24 00:00:00.000+0000,119.87,44.96,63.76
2020-01-22 00:00:00.000+0000,93.43,36.66,48.09
2019-12-20 00:00:00.000+0000,90.45,34.31,47.73
2019-11-20 00:00:00.000+0000,79.02,31.7,40.09
2019-10-22 00:00:00.000+0000,36.64,21.46,12.41
2019-09-20 00:00:00.000+0000,26.28,19.3,5.29
2019-08-22 00:00:00.000+0000,26.83,19.13,5.96
2019-07-23 00:00:00.000+0000,28.58,19.27,7.41
2019-06-24 00:00:00.000+0000,32.05,19.03,10.76
2019-05-22 00:00:00.000+0000,50.7,20.03,26.5
2019-04-23 00:00:00.000+0000,74.94,23.1,45.29
2019-03-22 00:00:00.000+0000,117.39,29.69,76.97
2021-04-23 00:00:00.000+0000,65.37,27.49,33.04
2021-05-21 00:00:00.000+0000,48.18,24.35,20.55
2021-06-23 00:00:00.000+0000,43.48,23.94,16.66
2021-07-22 00:00:00.000+0000,37.82,23.19,12.22
2021-08-20 00:00:00.000+0000,37.08,23.06,11.67
2021-09-21 00:00:00.000+0000,34.28,22.74,8.89
2021-10-21 00:00:00.000+0000,36.43,22.93,11.26
2021-11-19 00:00:00.000+0000,101.64,31.31,63.09
2019-01-22 00:00:00.000+0000,127.4,30.93,84.74
2019-02-21 00:00:00.000+0000,148.79,34.09,100.89
2021-03-23 00:00:00.000+0000,79.95,32.87,40.37
