STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USC00110338,"AURORA, IL US",1/1/2018,,,0,0,3,,10,-11,-11
USC00110338,"AURORA, IL US",1/2/2018,,,0,0,3,,-1,-14,-14
USC00110338,"AURORA, IL US",1/3/2018,,,0.01,0,3,,14,-14,14
USC00110338,"AURORA, IL US",1/4/2018,,,0,0,3,,16,4,4
USC00110338,"AURORA, IL US",1/5/2018,,,0,0,2,,7,-6,-5
USC00110338,"AURORA, IL US",1/6/2018,,,0,0,2,,8,-8,-7
USC00110338,"AURORA, IL US",1/7/2018,,,0,0,2,,16,-7,16
USC00110338,"AURORA, IL US",1/8/2018,,,0.12,0,2,,32,16,32
USC00110338,"AURORA, IL US",1/9/2018,,,0,0,2,,36,26,26
USC00110338,"AURORA, IL US",1/10/2018,,,0.02,0,0,,36,26,36
USC00110338,"AURORA, IL US",1/11/2018,,,0,0,0,,54,36,53
USC00110338,"AURORA, IL US",1/12/2018,,,0.2,0,0,,57,18,18
USC00110338,"AURORA, IL US",1/13/2018,,,0,0,0,,21,4,4
USC00110338,"AURORA, IL US",1/14/2018,,,0,0,0,,15,2,2
USC00110338,"AURORA, IL US",1/15/2018,,,0.13,5,5,,20,2,18
USC00110338,"AURORA, IL US",1/16/2018,,,0.05,0,5,,21,2,9
USC00110338,"AURORA, IL US",1/17/2018,,,0,0,5,,20,0,0
USC00110338,"AURORA, IL US",1/18/2018,,,0,0,5,,16,0,15
USC00110338,"AURORA, IL US",1/19/2018,,,0,0,4,,32,15,26
USC00110338,"AURORA, IL US",1/20/2018,,,0,0,2,,39,26,30
USC00110338,"AURORA, IL US",1/21/2018,,,0,0,1,,46,30,38
USC00110338,"AURORA, IL US",1/22/2018,,,0.83,0,0,,48,38,48
USC00110338,"AURORA, IL US",1/23/2018,,,0.14,0.5,1,,54,30,31
USC00110338,"AURORA, IL US",1/24/2018,,,0,0,0,,31,26,26
USC00110338,"AURORA, IL US",1/25/2018,,,0,0,0,,28,24,27
USC00110338,"AURORA, IL US",1/26/2018,,,0,0,0,,44,26,35
USC00110338,"AURORA, IL US",1/27/2018,,,0,0,0,,49,35,40
USC00110338,"AURORA, IL US",1/28/2018,,,0,0,0,,48,26,26
